Item,RowDesc,Past Due
277-1017-010,Plan Build Remaining,
277-1017-010,Plan Delivery Qty,
601-0600-008,Plan Build Remaining,585
601-0600-008,Plan Delivery Qty,8
766-0000-001,Plan Build Remaining,
766-0000-001,Plan Delivery Qty,
766-0000-001+TL,Plan Build Remaining,0
766-0000-001+TL,Plan Delivery Qty,
766-0020-002,Plan Build Remaining,6
766-0020-002,Plan Delivery Qty,6
766-0080-001,Plan Build Remaining,4
766-0080-001,Plan Delivery Qty,4
766-0101-001,Plan Build Remaining,
766-0101-001,Plan Delivery Qty,
766-0101-001+TL,Plan Build Remaining,
766-0101-001+TL,Plan Delivery Qty,
822-0453-005,Plan Build Remaining,
822-0453-005,Plan Delivery Qty,
822-0453-015,Plan Build Remaining,
822-0453-015,Plan Delivery Qty,
822-1159-001,Plan Build Remaining,
822-1159-001,Plan Delivery Qty,
822-1159-005,Plan Build Remaining,
822-1159-005,Plan Delivery Qty,
822-1159-006,Plan Build Remaining,
822-1159-006,Plan Delivery Qty,
822-1600-004,Plan Build Remaining,
822-1600-004,Plan Delivery Qty,
822-1600-137,Plan Build Remaining,1
822-1600-137,Plan Delivery Qty,162
822-1600-137+TL,Plan Build Remaining,3
822-1600-137+TL,Plan Delivery Qty,
822-1600-138,Plan Build Remaining,216
822-1600-138,Plan Delivery Qty,232
822-1600-138+TL,Plan Build Remaining,7
822-1600-138+TL,Plan Delivery Qty,
822-1648-065,Plan Build Remaining,
822-1648-065,Plan Delivery Qty,
822-1648-165,Plan Build Remaining,
822-1648-165,Plan Delivery Qty,
822-1873-002,Plan Build Remaining,
822-1873-002,Plan Delivery Qty,
822-1873-003,Plan Build Remaining,1
822-1873-003,Plan Delivery Qty,4
822-1873-003+TL,Plan Build Remaining,37
822-1873-003+TL,Plan Delivery Qty,
822-2013-001,Plan Build Remaining,
822-2013-001,Plan Delivery Qty,
822-2062-001,Plan Build Remaining,
822-2062-001,Plan Delivery Qty,
822-2062-105,Plan Build Remaining,
822-2062-105,Plan Delivery Qty,
822-2093-002,Plan Build Remaining,
822-2093-002,Plan Delivery Qty,
822-2093-104,Plan Build Remaining,8
822-2093-104,Plan Delivery Qty,558
822-2093-104+TL,Plan Build Remaining,254
822-2093-104+TL,Plan Delivery Qty,184
822-2093-511,Plan Build Remaining,
822-2093-511,Plan Delivery Qty,
822-2093-511+TL,Plan Build Remaining,
822-2093-511+TL,Plan Delivery Qty,
822-2239-101,Plan Build Remaining,
822-2239-101,Plan Delivery Qty,
822-2347-204+TL,Plan Build Remaining,
822-2347-204+TL,Plan Delivery Qty,
822-2347-404,Plan Build Remaining,-14
822-2347-404,Plan Delivery Qty,160
822-2347-404+TL,Plan Build Remaining,0
822-2347-404+TL,Plan Delivery Qty,1
822-2347-424,Plan Build Remaining,0
822-2347-424,Plan Delivery Qty,172
822-2347-424+TL,Plan Build Remaining,-4
822-2347-424+TL,Plan Delivery Qty,4
822-2347-504,Plan Build Remaining,0
822-2347-504,Plan Delivery Qty,17
822-2347-504+TL,Plan Build Remaining,
822-2347-504+TL,Plan Delivery Qty,
822-2904-111,Plan Build Remaining,0
822-2904-111,Plan Delivery Qty,9
822-2904-111+TL,Plan Build Remaining,65
822-2904-111+TL,Plan Delivery Qty,104
822-2904-211,Plan Build Remaining,19
822-2904-211,Plan Delivery Qty,107
822-2904-211+TL,Plan Build Remaining,132
822-2904-211+TL,Plan Delivery Qty,152
822-3026-001,Plan Build Remaining,
822-3026-001,Plan Delivery Qty,
822-3078-002,Plan Build Remaining,0
822-3078-002,Plan Delivery Qty,10
822-3078-002+TL,Plan Build Remaining,0
822-3078-002+TL,Plan Delivery Qty,
822-3198-003,Plan Build Remaining,0
822-3198-003,Plan Delivery Qty,455
822-3198-003+TL,Plan Build Remaining,25
822-3198-003+TL,Plan Delivery Qty,
822-3198-013,Plan Build Remaining,13
822-3198-013,Plan Delivery Qty,23
822-3198-013+TL,Plan Build Remaining,
822-3198-013+TL,Plan Delivery Qty,
822-3255-001,Plan Build Remaining,396
822-3255-001,Plan Delivery Qty,156
822-3255-001+TL,Plan Build Remaining,148
822-3255-001+TL,Plan Delivery Qty,
822-3267-601,Plan Build Remaining,
822-3267-601,Plan Delivery Qty,
822-3267-601+TL,Plan Build Remaining,0
822-3267-601+TL,Plan Delivery Qty,21
822-3267-602,Plan Build Remaining,0
822-3267-602,Plan Delivery Qty,25
822-3267-602+TL,Plan Build Remaining,0
822-3267-602+TL,Plan Delivery Qty,9
822-3307-002,Plan Build Remaining,
822-3307-002,Plan Delivery Qty,
822-3307-002+TL,Plan Build Remaining,0
822-3307-002+TL,Plan Delivery Qty,
822-3396-002,Plan Build Remaining,-1
822-3396-002,Plan Delivery Qty,3
822-3396-002+TL,Plan Build Remaining,0
822-3396-002+TL,Plan Delivery Qty,
822-3396-012,Plan Build Remaining,0
822-3396-012,Plan Delivery Qty,5
822-3396-012+TL,Plan Build Remaining,0
822-3396-012+TL,Plan Delivery Qty,
822-3399-002,Plan Build Remaining,
822-3399-002,Plan Delivery Qty,
822-3505-001,Plan Build Remaining,3
822-3505-001,Plan Delivery Qty,3
822-3527-001,Plan Build Remaining,
822-3527-001,Plan Delivery Qty,
822-3527-002,Plan Build Remaining,0
822-3527-002,Plan Delivery Qty,2
822-3527-002+TL,Plan Build Remaining,0
822-3527-002+TL,Plan Delivery Qty,
822-3527-012,Plan Build Remaining,
822-3527-012,Plan Delivery Qty,
822-3527-012+TL,Plan Build Remaining,0
822-3527-012+TL,Plan Delivery Qty,
822-3590-001,Plan Build Remaining,
822-3590-001,Plan Delivery Qty,
822-3590-001+TL,Plan Build Remaining,
822-3590-001+TL,Plan Delivery Qty,
822-3592-001,Plan Build Remaining,-1
822-3592-001,Plan Delivery Qty,
822-3592-001+TL,Plan Build Remaining,
822-3592-001+TL,Plan Delivery Qty,
822-3592-002+TL,Plan Build Remaining,
822-3592-002+TL,Plan Delivery Qty,
822-3592-011,Plan Build Remaining,115
822-3592-011,Plan Delivery Qty,117
822-3592-012,Plan Build Remaining,
822-3592-012,Plan Delivery Qty,
822-3592-501,Plan Build Remaining,1
822-3592-501,Plan Delivery Qty,1
822-3607-001,Plan Build Remaining,
822-3607-001,Plan Delivery Qty,
822-3607-002,Plan Build Remaining,
822-3607-002,Plan Delivery Qty,
822-3607-002+TL,Plan Build Remaining,
822-3607-002+TL,Plan Delivery Qty,
822-3634-502,Plan Build Remaining,
822-3634-502,Plan Delivery Qty,
822-3696-401,Plan Build Remaining,
822-3696-401,Plan Delivery Qty,
822-3697-001,Plan Build Remaining,164
822-3697-001,Plan Delivery Qty,118
822-3697-001+TL,Plan Build Remaining,36
822-3697-001+TL,Plan Delivery Qty,170
835-1032-010,Plan Build Remaining,
835-1032-010,Plan Delivery Qty,
922-0003-001,Plan Build Remaining,
922-0003-001,Plan Delivery Qty,
922-0005-001,Plan Build Remaining,
922-0005-001,Plan Delivery Qty,
944-1543-001,Plan Build Remaining,
944-1543-001,Plan Delivery Qty,
944-2589-006,Plan Build Remaining,
944-2589-006,Plan Delivery Qty,
944-3765-008,Plan Build Remaining,657
944-3765-008,Plan Delivery Qty,242
944-3767-105,Plan Build Remaining,594
944-3767-105,Plan Delivery Qty,
944-3773-102,Plan Build Remaining,
944-3773-102,Plan Delivery Qty,
944-3986-002,Plan Build Remaining,
944-3986-002,Plan Delivery Qty,
966-0460-004,Plan Build Remaining,
966-0460-004,Plan Delivery Qty,
966-1237-003,Plan Build Remaining,
966-1237-003,Plan Delivery Qty,
966-1831-004=R,Plan Build Remaining,
966-1831-004=R,Plan Delivery Qty,
966-1831-005,Plan Build Remaining,6470
966-1831-005,Plan Delivery Qty,5363
966-2052-405,Plan Build Remaining,720
966-2052-405,Plan Delivery Qty,226
966-2052-505,Plan Build Remaining,14
966-2052-505,Plan Delivery Qty,
966-2083-244,Plan Build Remaining,1515
966-2083-244,Plan Delivery Qty,1445
966-2083-254,Plan Build Remaining,112
966-2083-254,Plan Delivery Qty,32
966-2083-264,Plan Build Remaining,171
966-2083-264,Plan Delivery Qty,82
966-2083-344,Plan Build Remaining,576
966-2083-344,Plan Delivery Qty,557
966-2083-354,Plan Build Remaining,120
966-2083-354,Plan Delivery Qty,120
966-2083-364,Plan Build Remaining,1000
966-2083-364,Plan Delivery Qty,443
966-2083-524,Plan Build Remaining,94
966-2083-524,Plan Delivery Qty,45
966-2083-964,Plan Build Remaining,333
966-2083-964,Plan Delivery Qty,366
966-2083-974,Plan Build Remaining,1441
966-2083-974,Plan Delivery Qty,4352
966-2083-984,Plan Build Remaining,240
966-2083-984,Plan Delivery Qty,240
966-2188-005,Plan Build Remaining,76
966-2188-005,Plan Delivery Qty,85
966-2188-104,Plan Build Remaining,80
966-2188-104,Plan Delivery Qty,
966-2300-482,Plan Build Remaining,220
966-2300-482,Plan Delivery Qty,220
966-2300-582,Plan Build Remaining,8
966-2300-582,Plan Delivery Qty,
966-2303-001,Plan Build Remaining,697
966-2303-001,Plan Delivery Qty,1
966-2335-002,Plan Build Remaining,2
966-2335-002,Plan Delivery Qty,144
966-2359-009,Plan Build Remaining,
966-2359-009,Plan Delivery Qty,
966-2499-006,Plan Build Remaining,0
966-2499-006,Plan Delivery Qty,4
966-2631-003,Plan Build Remaining,0
966-2631-003,Plan Delivery Qty,61
966-2700-004,Plan Build Remaining,793
966-2700-004,Plan Delivery Qty,72
966-2724-001,Plan Build Remaining,3
966-2724-001,Plan Delivery Qty,
966-2859-010,Plan Build Remaining,2460
966-2859-010,Plan Delivery Qty,60
966-2919-004,Plan Build Remaining,0
966-2919-004,Plan Delivery Qty,20
966-3200-004,Plan Build Remaining,0
966-3200-004,Plan Delivery Qty,16
966-3200-104,Plan Build Remaining,
966-3200-104,Plan Delivery Qty,
966-3648-001,Plan Build Remaining,3327
966-3648-001,Plan Delivery Qty,7760
966-4011-002,Plan Build Remaining,34
966-4011-002,Plan Delivery Qty,269
966-4325-004,Plan Build Remaining,
966-4325-004,Plan Delivery Qty,
966-4333-003,Plan Build Remaining,559
966-4333-003,Plan Delivery Qty,6
966-4516-007,Plan Build Remaining,2677
966-4516-007,Plan Delivery Qty,412
966-4518-006,Plan Build Remaining,2707
966-4518-006,Plan Delivery Qty,5031
966-4550-012,Plan Build Remaining,
966-4550-012,Plan Delivery Qty,
966-4560-002,Plan Build Remaining,
966-4560-002,Plan Delivery Qty,
966-4662-006,Plan Build Remaining,
966-4662-006,Plan Delivery Qty,
966-4733-001,Plan Build Remaining,12
966-4733-001,Plan Delivery Qty,
966-4974-003,Plan Build Remaining,32
966-4974-003,Plan Delivery Qty,
966-5704-005,Plan Build Remaining,0
966-5704-005,Plan Delivery Qty,1
966-5704-015,Plan Build Remaining,0
966-5704-015,Plan Delivery Qty,1
966-5813-001,Plan Build Remaining,9
966-5813-001,Plan Delivery Qty,
966-5851-003,Plan Build Remaining,
966-5851-003,Plan Delivery Qty,
966-6305-002,Plan Build Remaining,6
966-6305-002,Plan Delivery Qty,
966-6305-003,Plan Build Remaining,
966-6305-003,Plan Delivery Qty,
966-6305-202,Plan Build Remaining,
966-6305-202,Plan Delivery Qty,
966-6307-002,Plan Build Remaining,
966-6307-002,Plan Delivery Qty,
966-6307-102,Plan Build Remaining,17
966-6307-102,Plan Delivery Qty,1
966-6307-202,Plan Build Remaining,
966-6307-202,Plan Delivery Qty,
966-6309-002,Plan Build Remaining,
966-6309-002,Plan Delivery Qty,
966-6584-004,Plan Build Remaining,
966-6584-004,Plan Delivery Qty,
966-6584-014,Plan Build Remaining,70
966-6584-014,Plan Delivery Qty,70
966-6586-004,Plan Build Remaining,340
966-6586-004,Plan Delivery Qty,30
966-6586-005,Plan Build Remaining,40
966-6586-005,Plan Delivery Qty,60
966-6969-004,Plan Build Remaining,100
966-6969-004,Plan Delivery Qty,
966-6971-005,Plan Build Remaining,101
966-6971-005,Plan Delivery Qty,
966-6973-003,Plan Build Remaining,72
966-6973-003,Plan Delivery Qty,0
966-6973-004,Plan Build Remaining,120
966-6973-004,Plan Delivery Qty,
966-6973-103,Plan Build Remaining,0
966-6973-103,Plan Delivery Qty,0
966-6973-104,Plan Build Remaining,532
966-6973-104,Plan Delivery Qty,2
966-7297-302,Plan Build Remaining,
966-7297-302,Plan Delivery Qty,
966-7400-011,Plan Build Remaining,356
966-7400-011,Plan Delivery Qty,4
966-7715-004,Plan Build Remaining,
966-7715-004,Plan Delivery Qty,
966-7715-104,Plan Build Remaining,
966-7715-104,Plan Delivery Qty,
966-7797-001,Plan Build Remaining,
966-7797-001,Plan Delivery Qty,
966-7964-004,Plan Build Remaining,3
966-7964-004,Plan Delivery Qty,53
966-7964-404,Plan Build Remaining,1
966-7964-404,Plan Delivery Qty,1
966-8303-003,Plan Build Remaining,-2
966-8303-003,Plan Delivery Qty,56
966-8303-403,Plan Build Remaining,7
966-8303-403,Plan Delivery Qty,16
966-8460-002,Plan Build Remaining,
966-8460-002,Plan Delivery Qty,
966-8492-004,Plan Build Remaining,22
966-8492-004,Plan Delivery Qty,
966-8500-001,Plan Build Remaining,
966-8500-001,Plan Delivery Qty,
966-8532-021,Plan Build Remaining,
966-8532-021,Plan Delivery Qty,
966-8532-022,Plan Build Remaining,8
966-8532-022,Plan Delivery Qty,
966-8572-001,Plan Build Remaining,
966-8572-001,Plan Delivery Qty,
966-8574-001,Plan Build Remaining,
966-8574-001,Plan Delivery Qty,
966-8660-002,Plan Build Remaining,
966-8660-002,Plan Delivery Qty,
966-8736-002,Plan Build Remaining,
966-8736-002,Plan Delivery Qty,
983-9834-111,Plan Build Remaining,98
983-9834-111,Plan Delivery Qty,87
983-9834-111+SA,Plan Build Remaining,0
983-9834-111+SA,Plan Delivery Qty,34
983-9834-212,Plan Build Remaining,357
983-9834-212,Plan Delivery Qty,330
983-9834-212+SA,Plan Build Remaining,49
983-9834-212+SA,Plan Delivery Qty,246
987-0001-220,Plan Build Remaining,
987-0001-220,Plan Delivery Qty,
987-0018-654,Plan Build Remaining,68
987-0018-654,Plan Delivery Qty,73
987-0018-654+PR,Plan Build Remaining,2
987-0018-654+PR,Plan Delivery Qty,1
987-0018-661,Plan Build Remaining,586
987-0018-661,Plan Delivery Qty,441
987-0018-661+PR,Plan Build Remaining,-48
987-0018-661+PR,Plan Delivery Qty,519
987-0019-544,Plan Build Remaining,
987-0019-544,Plan Delivery Qty,
987-1856-023,Plan Build Remaining,
987-1856-023,Plan Delivery Qty,
987-2094-004,Plan Build Remaining,407
987-2094-004,Plan Delivery Qty,413
987-2434-300,Plan Build Remaining,43
987-2434-300,Plan Delivery Qty,
987-2618-011,Plan Build Remaining,
987-2618-011,Plan Delivery Qty,
987-2618-021,Plan Build Remaining,49
987-2618-021,Plan Delivery Qty,33
987-2618-021+TL,Plan Build Remaining,23
987-2618-021+TL,Plan Delivery Qty,45
987-2618-121,Plan Build Remaining,42
987-2618-121,Plan Delivery Qty,40
987-2618-121+TL,Plan Build Remaining,19
987-2618-121+TL,Plan Delivery Qty,17
987-2618-221,Plan Build Remaining,116
987-2618-221,Plan Delivery Qty,118
987-2618-221+TL,Plan Build Remaining,111
987-2618-221+TL,Plan Delivery Qty,90
987-2618-321,Plan Build Remaining,776
987-2618-321,Plan Delivery Qty,647
987-2618-321+TL,Plan Build Remaining,449
987-2618-321+TL,Plan Delivery Qty,543
987-2618-421,Plan Build Remaining,43
987-2618-421,Plan Delivery Qty,43
987-3594-100,Plan Build Remaining,10
987-3594-100,Plan Delivery Qty,18
987-3594-110,Plan Build Remaining,99
987-3594-110,Plan Delivery Qty,288
987-3594-200,Plan Build Remaining,1
987-3594-200,Plan Delivery Qty,
987-4633-001,Plan Build Remaining,
987-4633-001,Plan Delivery Qty,
987-4633-001+TL,Plan Build Remaining,
987-4633-001+TL,Plan Delivery Qty,
987-6016-001,Plan Build Remaining,
987-6016-001,Plan Delivery Qty,
987-7173-080,Plan Build Remaining,43
987-7173-080,Plan Delivery Qty,47
987-7173-882,Plan Build Remaining,0
987-7173-882,Plan Delivery Qty,2
987-7173-884,Plan Build Remaining,114
987-7173-884,Plan Delivery Qty,157
987-7173-884+SA,Plan Build Remaining,0
987-7173-884+SA,Plan Delivery Qty,158
987-7173-885,Plan Build Remaining,0
987-7173-885,Plan Delivery Qty,5
987-7173-885+SA,Plan Build Remaining,0
987-7173-885+SA,Plan Delivery Qty,4
987-7799-001,Plan Build Remaining,
987-7799-001,Plan Delivery Qty,
987-7799-002,Plan Build Remaining,
987-7799-002,Plan Delivery Qty,
987-8574-730,Plan Build Remaining,
987-8574-730,Plan Delivery Qty,
987-8574-763,Plan Build Remaining,
987-8574-763,Plan Delivery Qty,
987-8760-002,Plan Build Remaining,0
987-8760-002,Plan Delivery Qty,6
987-8760-002+TL,Plan Build Remaining,
987-8760-002+TL,Plan Delivery Qty,
987-8770-002,Plan Build Remaining,66
987-8770-002,Plan Delivery Qty,15
987-9055-202,Plan Build Remaining,0
987-9055-202,Plan Delivery Qty,366
987-9055-202+TL,Plan Build Remaining,
987-9055-202+TL,Plan Delivery Qty,
987-9658-001,Plan Build Remaining,2
987-9658-001,Plan Delivery Qty,3
987-9658-001+TL,Plan Build Remaining,1
987-9658-001+TL,Plan Delivery Qty,2
987-9658-101,Plan Build Remaining,
987-9658-101,Plan Delivery Qty,
987-9658-101+TL,Plan Build Remaining,
987-9658-101+TL,Plan Delivery Qty,
987-9705-001,Plan Build Remaining,0
987-9705-001,Plan Delivery Qty,12
987-9705-001+TL,Plan Build Remaining,0
987-9705-001+TL,Plan Delivery Qty,1
987-9705-012,Plan Build Remaining,12
987-9705-012,Plan Delivery Qty,654
987-9705-012+TL,Plan Build Remaining,0
987-9705-012+TL,Plan Delivery Qty,
987-9705-112,Plan Build Remaining,0
987-9705-112,Plan Delivery Qty,6
987-9968-155,Plan Build Remaining,
987-9968-155,Plan Delivery Qty,
987-9968-175,Plan Build Remaining,2
987-9968-175,Plan Delivery Qty,2
CCA-000D-001,Plan Build Remaining,2
CCA-000D-001,Plan Delivery Qty,2
CCA-0012-002,Plan Build Remaining,2
CCA-0012-002,Plan Delivery Qty,1
CCA-0018-400,Plan Build Remaining,
CCA-0018-400,Plan Delivery Qty,
CCA-002B-001,Plan Build Remaining,
CCA-002B-001,Plan Delivery Qty,
CCA-0038-001,Plan Build Remaining,
CCA-0038-001,Plan Delivery Qty,
CCA-003D-001,Plan Build Remaining,
CCA-003D-001,Plan Delivery Qty,
CCA-004A-001,Plan Build Remaining,8
CCA-004A-001,Plan Delivery Qty,8
CCA-004B-001,Plan Build Remaining,
CCA-004B-001,Plan Delivery Qty,
CCA-004C-001,Plan Build Remaining,
CCA-004C-001,Plan Delivery Qty,
CCA-004D-102,Plan Build Remaining,
CCA-004D-102,Plan Delivery Qty,
CCA-0069-001,Plan Build Remaining,
CCA-0069-001,Plan Delivery Qty,
NON-STD-BUILD,Plan Build Remaining,
NON-STD-BUILD,Plan Delivery Qty,
